city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Heath AL,96.9,0,0,1,2,0,23.4
Opp AL,83.6,12.5,0.3,1.4,1.3,0.9,23.5
Hayneville AL,73.4,15.3,1.7,1.7,0,7.9,27.9
Piedmont AL,79.8,13.1,0,1.8,4.9,0.4,32.7
Huntsville AL,86.7,6.8,0.3,1.2,3.1,1.8,18.9
Owens Cross Roads AL,89.8,9,0,0.3,0.4,0.5,26.9
Abbeville AL,88.1,9.2,0,1.1,1.6,0,21.3
Eclectic AL,89.5,10.5,0,0,0,0,37.1
Castleberry AL,89.9,7.5,0,0,1.3,1.3,31
Brewton AL,87.7,9.1,0.6,0.9,1.7,0,21.6
Flomaton AL,95.9,2.8,0,0.7,0,0.7,25.9
Five Points AL,93.3,6.7,0,0,0,0,24.4
Oxford AL,87.3,9.4,0,0.2,2.3,0.8,22.4
Cowarts AL,91,4.9,0,0,3,1.1,25.5
Prichard AL,82.6,11.2,1.4,1.5,2.2,1.1,24.7
Satsuma AL,91.2,2.9,0,0,3.2,2.6,25
Maytown AL,94.3,4.1,0,0,0,1.6,28
Morris AL,88.8,7.8,0,0.9,2.6,0,28.7
Pleasant Grove AL,88.6,9.3,0,0,1.8,0.3,28.2
Glencoe AL,85.3,9.2,0,0,4.6,0.9,25.1
Hokes Bluff AL,91.6,4.3,0,0,4.2,0,21.6
Gordonville AL,66.7,4.4,0,0,6.7,22.2,43.9
Lockhart AL,71.3,26.6,0,1.4,0.7,0,28.9
Autaugaville AL,91.7,4.5,0,1.5,2.4,0,36.9
Arab AL,86.8,8.9,0.3,0.6,2.9,0.6,27.4
Pell City AL,90,7.6,0,0,1.7,0.7,25.5
Rogersville AL,86.4,7.3,0,4.2,0,2,31.1
Sheffield AL,88.3,5.5,0,2.8,1.6,1.8,20.3
Brilliant AL,84.6,5.2,0,10.1,0,0,25.8
Evergreen AL,91,1.9,0,0.7,4.9,1.5,24.4
Repton AL,100,0,0,0,0,0,19.9
East Brewton AL,92.2,4.8,0,0,0.5,2.6,18.8
Auburn AL,79.8,8.8,1.7,4.7,3.6,1.5,19.7
Opelika AL,86,9.1,0.1,0.4,3.7,0.7,18.2
Leighton AL,86.9,13.1,0,0,0,0,28.1
Midland City AL,92.7,3.3,0,0.4,1.7,1.9,19.7
Black AL,89.3,10.7,0,0,0,0,29.2
Geneva AL,79.9,16,0,0,0,4.1,25.4
Jacksons' Gap AL,84,11.5,0,3.9,0.5,0,19.5
Maplesville AL,90.9,8.4,0,0,0.7,0,30.7
Odenville AL,85.9,8.7,0,0.6,4.7,0,32.2
Brundidge AL,82.4,12.2,0.3,3.2,1.2,0.7,22.8
Roanoke AL,95,3,0,0,2.1,0,22.1
Florence AL,86,7.4,0.2,2.9,2.4,1.2,18.6
Hamilton AL,83.5,12.5,0,0.5,2.5,1,24.1
Banks AL,82.7,3.8,0,0,9.6,3.8,26.7
Wadley AL,85.3,3.6,0,7.1,0,4.1,25.3
