city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Mosquito Lake AK,45.3,0,0,0,37.7,17,0
Chignik Lake AK,21.1,15.8,0,36.8,5.3,21.1,7.8
Pedro Bay AK,20,0,0,40,0,40,0
Northway Junction AK,100,0,0,0,0,0,0
Northway Village AK,100,0,0,0,0,0,18
Tanacross AK,43.5,0,0,56.5,0,0,13
Kenny Lake AK,0,0,0,0,0,0,0
Tyonek AK,45.3,12,0,33.3,6,3.4,9.6
Gakona AK,64,8,0,0,28,0,14.4
Tolsona AK,0,0,0,0,0,0,0
Klukwan AK,51.9,0,0,25.9,22.2,0,13.8
Karluk AK,0,0,0,100,0,0,0
Metlakatla AK,59.6,17.4,2.4,12.6,4.3,3.7,10
Port Protection AK,0,0,0,52.6,0,47.4,0
Whale Pass AK,0,0,0,0,0,0,0
South Naknek AK,31.3,0,0,18.8,0,50,21.6
Excursion Inlet AK,0,0,0,89.1,10.9,0,0
Mud Bay AK,34.1,31.7,0,0,34.1,0,0
Nikolski AK,11.8,0,0,52.9,11.8,23.5,3
Chignik Lagoon AK,38.1,0,0,23.8,0,38.1,4
Covenant Life AK,100,0,0,0,0,0,0
Moose Pass AK,56.9,11.1,0,0,31.9,0,0
Nanwalek AK,19.4,1.4,0,36.1,18.1,25,12.4
Chisana AK,0,0,0,0,0,0,0
McCarthy AK,0,0,0,0,0,0,0
Paxson AK,0,0,0,0,0,0,0
Willow Creek AK,0,0,0,0,0,0,0
Point Lay AK,1.4,10.1,0,73.9,2.9,11.6,4.9
Prudhoe Bay AK,12.2,10.3,4.6,71.4,1.2,0.2,6.4
Big Delta AK,43.7,51.1,0,5.2,0,0,16.6
Tok AK,63.8,20.7,3.5,4.4,7.4,0.2,11.8
Moose Creek AK,74.4,17.4,0,8.1,0,0.2,14
Naknek AK,61.8,7.8,0,24.7,3.5,2.1,7.8
Wiseman AK,100,0,0,0,0,0,0
Noatak AK,0,4.5,0,43.8,9.8,42,9.4
Akiachak AK,6.7,7.3,0,43.3,2.4,40.2,7.9
Lime Village AK,0,0,0,100,0,0,0
Oscarville AK,0,0,0,60,0,40,0
Tuntutuliak AK,3.9,0,0,30.4,2,63.7,6.9
Buffalo Soapstone AK,65.9,20.7,1.2,2.7,3,6.6,39.1
Chickaloon AK,81.4,5.7,0,0,12.9,0,27.7
Knik River AK,73.1,15.4,3,0.9,0,7.6,43.9
King Salmon AK,57.1,28.3,0.5,8,2.8,3.3,10.6
Port Clarence AK,39.5,39.5,0,20.9,0,0,0
Dot Lake Village AK,0,0,0,100,0,0,0
Healy Lake AK,0,0,0,100,0,0,0
Igiugig AK,13.6,9.1,0,27.3,9.1,40.9,9.8
Kokhanok AK,13.3,0,0,31.1,0,55.6,5.1
Lutak AK,0,0,0,0,100,0,0
Alcan Border AK,0,0,0,81.8,18.2,0,0
Chicken AK,50,0,0,0,0,50,0
Fort Greely AK,56.3,18.8,0,25,0,0,0
Northway AK,50,18.8,0,15.6,0,15.6,7.2
Portage Creek AK,0,0,0,0,0,0,0
Twin Hills AK,0,0,0,57.1,4.8,38.1,2.8
Kipnuk AK,0,1.3,2.6,32.3,5.2,58.7,5.9
Kwigillingok AK,0,0,0,19.7,2.6,77.6,5.3
Butte AK,76.7,10.4,0.2,0.7,8.6,3.4,36.1
Knik-Fairview AK,68.3,14.7,0.7,1.4,6.5,8.5,40.2
Takotna AK,0,0,0,0,18.2,81.8,0
Glennallen AK,78.7,0,0,21.3,0,0,0
Stevens Village AK,0,0,0,0,0,0,0
Evansville AK,0,0,0,100,0,0,0
Four Mile Road AK,0,0,0,0,0,0,0
Koliganek AK,21,16.1,0,27.4,6.5,29,6.2
Kasigluk AK,1.3,0,0,61.7,1.3,35.6,5
Kongiganak AK,0,0,0,36.5,3.5,60,4.1
Tuluksak AK,6,1,0,78,1,14,6.2
Farm Loop AK,68.8,11.5,2.5,3.8,8.1,5.3,29.4
Fishhook AK,78.3,10.3,1.1,1.3,6,3,31.7
Gateway AK,70.9,16.2,0.9,1.9,5.5,4.5,33.3
Lake Louise AK,0,0,0,0,0,0,0
Lakes AK,74.6,13.7,0.2,0.4,4.9,6.3,31.8
Susitna AK,0,0,0,0,0,0,0
Tanaina AK,76.3,8.8,2,1,4.2,7.6,36.4
Central AK,53.3,0,0,0,0,46.7,0
Chalkyitsik AK,0,0,0,51,22.4,26.5,7
Livengood AK,0,0,0,0,0,0,0
Minto AK,20.7,3.4,0,60.3,6.9,8.6,8.9
College AK,74.4,8.1,2.2,6.5,3.9,4.9,17.3
Newtok AK,0,0,0,82.2,3.3,14.4,4.1
Petersville AK,0,0,0,0,0,0,0
Sutton-Alpine AK,81,7.7,0,1.7,8.8,0.8,32.7
Beaver AK,0,0,0,74.2,0,25.8,4.2
Circle AK,33.3,12.1,0,48.5,6.1,0,4.5
Eielson AFB AK,79.2,13.8,0,4.4,2.1,0.6,16.3
Cohoe AK,70.5,10.5,0,3.3,10.1,5.6,27.7
Aleneva AK,0,0,0,0,0,0,0
Nikiski AK,69,14.9,0.8,2,4.3,8.9,23.6
Nikolaevsk AK,13.1,8.4,0,36.4,33.6,8.4,28.5
Salamatof AK,82.1,3.6,0.8,2,8,3.6,17.9
Chistochina AK,84.2,10.5,0,0,5.3,0,8.3
Chitina AK,87.2,0,0,12.8,0,0,51.5
Mentasta Lake AK,46.8,0,6.4,19.1,23.4,4.3,5
Tonsina AK,0,0,0,0,0,0,0
Pleasant Valley AK,45.7,44.2,0,0,0,10.1,0
Ester AK,59.2,26.1,0,10.3,0,4.3,19.2
Fox AK,100,0,0,0,0,0,0
Tununak AK,10.3,0,0,55.2,12.6,21.8,5.1
Big Lake AK,76.1,7.5,0.4,0.6,3.3,12.1,40.3
Stony River AK,0,0,0,50,0,50,0
Rampart AK,29.4,0,0,58.8,0,11.8,0
Red Dog Mine AK,0,0,0,81,19,0,0
Arctic Village AK,6.8,0,0,40.9,4.5,47.7,7.1
Coldfoot AK,0,0,0,78.3,21.7,0,0
Manley Hot Springs AK,71,0,0,22.6,0,6.5,8.9
Venetie AK,5.4,0,0,54.1,0,40.5,4.9
Salcha AK,68.4,5.6,0,12.6,8.5,5,29.7
Halibut Cove AK,0,0,0,0,100,0,0
Kalifornsky AK,76.3,6.9,0,1.4,5.5,10,24.2
Atmautluak AK,0,3.2,0,77.8,0,19,5.6
Crooked Creek AK,19.2,19.2,7.7,23.1,11.5,19.2,5.2
Kodiak Station AK,75,2.9,0,13.8,4.4,3.8,9.4
Chiniak AK,0,0,0,0,0,0,0
Womens Bay AK,77.5,4.4,0,3.3,9.3,5.5,14.9
Nelson Lagoon AK,85.7,0,0,5.7,0,8.6,3
Beluga AK,0,0,0,0,0,0,0
Funny River AK,87.3,0,0,5.4,0,7.3,30.6
Kasilof AK,86.7,0,0,0,0,13.3,0
Cantwell AK,59.1,21.5,0,5.4,12.9,1.1,18
Ferry AK,100,0,0,0,0,0,0
Attu Station AK,75,0,0,25,0,0,7.5
Fritz Creek AK,73.4,7.3,0,2.3,9.8,7.2,22.1
Primrose AK,42.4,0,0,0,57.6,0,0
Seldovia Village AK,55.8,20,0,0,20,4.2,11.4
Game Creek AK,0,0,0,0,0,0,0
Nelchina AK,58.3,0,0,0,0,41.7,0
Chenega AK,0,0,0,100,0,0,0
Copper Center AK,51.7,12.1,0,32.2,1.3,2.7,18.3
Mendeltna AK,0,0,0,0,0,0,0
Silver Springs AK,53.7,26.8,0,7.3,9.8,2.4,15
Dry Creek AK,0,0,0,77.2,22.8,0,4.2
Hollis AK,50.6,30.4,0,6.3,0,12.7,28.6
Hyder AK,0,0,0,0,0,0,0
Whitestone Logging Camp AK,0,0,0,0,0,0,0
Pitkas Point AK,17.1,0,5.7,60,0,17.1,7.1
Bear Creek AK,56.3,9.9,6,4.8,0,22.9,15.6
Clam Gulch AK,72.6,4.8,0,6.5,9.7,6.5,43.2
Dot Lake AK,0,0,0,0,0,0,0
Eagle Village AK,53.8,30.8,0,15.4,0,0,0
Port Alsworth AK,1.4,4.1,1.4,44.6,0,48.6,3.9
Yakutat AK,53,15.5,0.9,20.4,4.6,5.5,6.8
Skwentna AK,0,0,0,0,42.3,57.7,0
Talkeetna AK,60.1,1.9,0,6,20,12.1,19.2
Willow AK,56.3,14.2,0,1.3,12.9,15.2,38.5
Flat AK,0,0,0,0,0,0,0
Lowell Point AK,52.2,0,0,36.1,0,11.7,7
Sunrise AK,51.3,0,0,0,0,48.7,11.2
Ugashik AK,66.7,0,0,0,0,33.3,0
Red Devil AK,0,0,0,0,66.7,33.3,0
Glacier View AK,45.1,4.4,0,15.9,29.2,5.3,22.1
Trapper Creek AK,47.3,7.7,0,13.6,21.9,9.5,30
Lake Minchumina AK,0,0,0,40,0,60,11.3
Tatitlek AK,0,0,0,100,0,0,3.8
Port Graham AK,26.2,3.6,0,35.7,15.5,19,4.6
Tazlina AK,64.8,6.7,0,6.7,12.4,9.5,15.3
Crown Point AK,25.4,56.7,0,17.9,0,0,19.7
Naukati Bay AK,100,0,0,0,0,0,0
Gulkana AK,0,0,0,100,0,0,0
Point Baker AK,0,0,0,0,0,100,0
Ridgeway AK,84.8,10,0,1.3,1.3,2.5,19.8
Happy Valley AK,46.2,32.6,2.2,3.3,12.5,3.3,31.8
Slana AK,0,0,0,0,0,0,0
Deltana AK,74,17.3,0,1.5,7.2,0,14.8
Two Rivers AK,100,0,0,0,0,0,22.7
Sleetmute AK,0,0,0,64,0,36,7.2
Birch Creek AK,0,0,0,0,0,0,0
Haines AK,61.9,12,0.7,6.2,7.3,11.9,6
Skagway AK,40.9,6.3,0.8,38.7,6.2,7.1,5.7
Mertarvik AK,0,0,0,0,0,0,0
Susitna North AK,51.6,4.8,0,6.8,21.8,15,27.9
Eureka Roadhouse AK,0,0,0,0,0,0,0
Nabesna AK,0,0,0,0,0,0,0
Point Possession AK,0,0,0,0,0,0,0
Whitestone AK,7.4,8.6,0,79,4.9,0,7.5
Loring AK,0,0,0,0,0,0,0
Goldstream AK,75.6,19.3,0,0,3.1,2,25.6
Chena Ridge AK,78.4,13.3,0,2.3,2.7,3.2,19.9
Farmers Loop AK,77.6,17.8,0,0.8,3.4,0.5,18
Badger AK,73.5,20.8,1.3,0.5,2,1.8,25.3
South Van Horn AK,74.2,5.9,0,3.4,12.3,4.2,23.3
Steele Creek AK,88.2,5.6,0,0.3,5.9,0,21.4
Petersburg AK,46.3,22,0.9,20.9,5.1,4.9,7.5
Pisinemo AZ,39,15.9,0,37.8,0,7.3,28.1
Whiteriver AZ,65.5,12,9.3,10.4,0,2.8,17.7
Catalina AZ,84.1,7.3,0,2.7,5.1,0.8,30.9
Green Valley AZ,75.8,3.5,0,3.2,15.8,1.7,21.3
Valencia West AZ,78.2,18.4,1.5,0.2,0.9,0.8,36.1
Fortuna Foothills AZ,82.5,10.2,0,1.3,3.6,2.4,21.5
Ganado AZ,75.3,1.4,0,6.8,10.3,6.2,28.4
Rough Rock AZ,83.1,2.3,0,10.8,3.8,0,19.3
Tsaile AZ,45.2,14.5,0,26.7,4.1,9.6,20.6
Naco AZ,96.3,2.2,0,0,1.5,0,28.4
St. David AZ,85.3,5.3,0,0,5.5,3.9,19.8
Bagdad AZ,75,17.7,0,7.3,0,0,10.5
Peeples Valley AZ,60.3,17.2,0,16.4,3.4,2.6,48.7
Spring Valley AZ,71.5,23.9,0,0,4.6,0,34.7
Cibecue AZ,40,18.7,5.3,24.7,0,11.3,30.5
Jeddito AZ,69.4,0,0,24.2,6.5,0,33.5
Keams Canyon AZ,66.7,0,16.7,16.7,0,0,0
Pinon AZ,75.8,16.9,0,5.9,0,1.4,18.3
Winslow West AZ,87,0,0,0,13,0,16.3
Casas Adobes AZ,83.4,6.4,1.3,1.6,5.1,2.3,23
Ak-Chin Village AZ,59.3,15.3,0,8.7,8.7,8.1,14
Blackwater AZ,89.5,10.5,0,0,0,0,28.1
Dudleyville AZ,85.3,14.7,0,0,0,0,21.5
Stanfield AZ,72.6,0,0,27.4,0,0,0
Morenci AZ,89.8,9.1,0,0.5,0.6,0,9.1
Fort Defiance AZ,91.2,0,0,2.8,4.6,1.3,18.7
Pirtleville AZ,71,22.4,0,0,0,6.5,18.1
Sonoita AZ,68.6,7.7,0,0,20.6,3.1,30.9
Arizona City AZ,85.4,6.2,0.1,0.4,5.4,2.7,27.7
Second Mesa AZ,53.4,10.4,4.8,2.7,27.2,1.5,22.9
Three Points AZ,77.7,8.2,1.3,1.1,11.8,0,50.1
Tucson Estates AZ,75,17.6,0.3,0.7,2.7,3.6,32.4
Dennehotso AZ,59.8,17.5,0,5.2,17.5,0,29
Houck AZ,75,13.8,0,0,0,11.3,34.8
Many Farms AZ,71.5,10.2,1.4,8.8,7.3,0.8,28.3
Nazlini AZ,69.9,0,0,13.7,16.4,0,31.1
Rock Point AZ,72.8,7.8,0,13.6,5.8,0,38.2
Black Canyon City AZ,63.5,19.6,0,2.8,11.1,3,31.7
Cornville AZ,68.3,11.7,0,0,14.8,5.2,40
Lake Montezuma AZ,78,9.3,0,0.1,9.4,3.3,28.2
Top-of-the-World AZ,100,0,0,0,0,0,0
Kykotsmovi Village AZ,54,15.6,0,6.8,21.8,1.8,26.2
Ajo AZ,52.5,10.9,14.1,5.2,9.1,8.1,19.5
Tacna AZ,71.9,18.2,1.4,8.4,0,0,20.1
Window Rock AZ,82,4.3,0,8.3,5.3,0,19.3
Ash Fork AZ,55.3,31.3,0,0,0,13.3,27.9
Tumacacori-Carmen AZ,81.6,0,0,0,18.4,0,0
Arizona Village AZ,70.1,11.3,5.6,1.1,11.8,0,17.8
Kaibab AZ,59.2,15.5,0,22.5,2.8,0,7.3
Cameron AZ,58.4,21.7,3.4,7.5,7.5,1.6,30.6
Amado AZ,64.5,0,0,0,0,35.5,0
Chilchinbito AZ,80.6,10,0,3.1,6.3,0,37.7
Heber-Overgaard AZ,63.4,21.2,1.1,0.4,5.5,8.4,19.2
McNary AZ,74.1,9.4,9.4,2.4,4.7,0,20.3
Drexel Heights AZ,77.7,12.6,1.6,0.6,5.4,2.2,27.7
Picture Rocks AZ,78.4,11.8,0.7,0,7.1,2,39.8
Summit AZ,73.8,12.1,0,6.1,5.3,2.6,22.8
Chuichu AZ,47.8,0,0,52.2,0,0,0
Burnside AZ,55.6,1.8,5.3,26.2,7.6,3.6,17.9
Chinle AZ,73,6.6,3,15.8,1.5,0,18.8
Round Rock AZ,81.6,12,0,6.3,0,0,42.9
Paulden AZ,68.5,20.4,0,2,7.7,1.4,33.8
Yarnell AZ,76.8,0,0,0,23.2,0,29.2
Dolan Springs AZ,61.3,0,13.4,0,6.7,18.6,36
Elgin AZ,64.6,0,0,22.9,12.5,0,21.1
Tubac AZ,72.9,12.7,0,0,10.3,4,19.6
Dilkon AZ,59.2,28.5,1.6,4.1,3.2,3.5,43.9
First Mesa AZ,44.9,20.9,2.1,11,18.5,2.6,21.2
Oljato-Monument Valley AZ,80,0,0,13.3,6.7,0,26.5
Shongopovi AZ,52.4,7.8,2.4,6.3,31.1,0,16.6
Avra Valley AZ,70.7,16.1,0,1.4,1.3,10.6,43.5
Flowing Wells AZ,72.1,15.4,1.9,2.3,2.9,5.5,22.1
Sells AZ,76.6,10,0,7.7,3.6,2.1,12.9
Oracle AZ,78.2,9.7,0,10.9,1.2,0,34.7
Queen Valley AZ,100,0,0,0,0,0,0
Sacaton AZ,77.6,11.9,0,7.4,3.2,0,22.5
Teec Nos Pos AZ,92.6,5.7,0,0,1.7,0,37.2
Sawmill AZ,86.4,0,4,1.6,8,0,41
Steamboat AZ,82.8,0,0,5.2,12.1,0,35
Desert Hills AZ,85.4,3.4,1.8,2.5,5.7,1.2,19.5
Mayer AZ,70.3,9.2,0,2.9,17.6,0,35.7
Tonalea AZ,51.5,12.1,12.1,12.1,0,12.1,0
Peridot AZ,60.1,32.9,0,0,7.1,0,15.3
Rio Verde AZ,42.2,0,0,0,53.5,4.2,27.7
Sun City AZ,80.2,4.9,0.8,1.3,10.2,2.6,24.8
Poston AZ,78.4,17.2,0,0,4.3,0,12.4
Salome AZ,83.5,0,0,3.6,12.9,0,15.4
Golden Valley AZ,80.3,14.1,0,0,1.2,4.4,29
San Carlos AZ,59.3,24.2,0,10.5,3.3,2.7,24.3
Swift Trail Junction AZ,72.6,19.1,0,1.1,6.4,0.8,26.1
Parks AZ,77.3,16.7,0,0,5.9,0,30.6
Congress AZ,75.3,3.8,0,0,16.2,4.7,27.6
Wilhoit AZ,66.5,28,0,0,5.4,0,38.2
Tonto Basin AZ,85.5,7,0,3.2,4.3,0,30.2
Munds Park AZ,90.6,0,0,0,0,9.4,17.9
Cibola AZ,69.8,14.1,0,16.1,0,0,22.8
Young AZ,76.6,23.4,0,0,0,0,22
Central Heights-Midland City AZ,85.8,14.2,0,0,0,0,18.8
Pine AZ,76.6,6.9,0,6.2,10.3,0,23.7
Ehrenberg AZ,61.8,12.6,0,4.2,21.5,0,13.3
Grand Canyon Village AZ,47.7,4.4,4.4,38,5.3,0.2,10.2
Kaibito AZ,68.8,25.3,0,3.4,2.5,0,33.1
Moenkopi AZ,84.4,6.6,0,3,6,0,15.3
Supai AZ,0,0,0,0,0,0,0
Tuba City AZ,76.4,9.7,1.3,6.2,6,0.4,16.3
Gisela AZ,80.3,3.4,0,0,16.3,0,37.4
New River AZ,78.9,5.4,0.4,1.7,12.1,1.4,33.3
Sun City West AZ,76.1,4.5,0,0.6,13.5,5.3,23.9
Sun Lakes AZ,81.2,3.2,0.3,0.3,12.4,2.6,27.9
Red Mesa AZ,53.2,0,2.1,37.6,5,2.1,15.8
Williamson AZ,75.2,7,0,0,17.6,0.1,23
Canyon Day AZ,68.3,22.5,2.2,2.5,2.9,1.6,18.4
East Fork AZ,83.5,4.3,0,4.3,7.8,0,15.2
Parker Strip AZ,75.6,8.9,0,1.9,13.6,0,16.4
Gadsden AZ,90.6,2.2,7.2,0,0,0,31.3
Greasewood AZ,52.6,33.1,0,14.3,0,0,37.5
Shonto AZ,53.7,14.9,0,19.7,11.7,0,13.6
Catalina Foothills AZ,81.1,6.1,0.6,1.1,9,2.1,23
Santa Rosa AZ,70,10,0,0,12.2,7.8,16.6
Lukachukai AZ,65.2,24.1,0,4.1,6.6,0,35.4
St. Michaels AZ,87.9,7.4,2.2,0.2,1.7,0.6,21.4
Hotevilla-Bacavi AZ,75.5,3.1,0,7.1,14.2,0,17.3
Mesquite Creek AZ,78.3,13.2,0,0,5.7,2.8,21.2
New Kingman-Butler AZ,81.5,15.4,0.2,0.7,1.6,0.6,17.3
Willow Valley AZ,77.2,22.8,0,0,0,0,19.7
Seligman AZ,49.3,29.2,0,19.2,0,2.3,23.1
Cordes Lakes AZ,75.3,16.5,0,6.2,1.9,0,40.5
Claypool AZ,93.2,4.4,0,0,2.4,0,11.7
Bluewater AZ,71,19.1,0,4.5,5.5,0,14.6
Wenden AZ,65.3,25.4,0,9.3,0,0,14.2
Bitter Springs AZ,65.2,26.5,1.9,0,6.5,0,36.7
Kachina Village AZ,68.5,24.9,1.6,0,4.9,0,24.2
Mountainaire AZ,78.4,6.3,0,0,6.3,9.1,18.4
Bouse AZ,72.3,9.5,0,10.9,7.3,0,18.5
Strawberry AZ,77.4,22.6,0,0,0,0,22.4
Peach Springs AZ,61,8,15.7,14.1,0,1.1,33
East Globe AZ,95,0,0,5,0,0,22.2
Village of Oak Creek (Big Park) AZ,71.3,8.6,0.1,2.8,14.6,2.6,28
Icehouse Canyon AZ,100,0,0,0,0,0,21.6
Arivaca Junction AZ,79.7,18.5,0,0,1.9,0,29.5
Haivana Nakya AZ,100,0,0,0,0,0,0
Chiawuli Tak AZ,0,0,0,0,0,0,0
Pimaco Two AZ,56.6,34.2,0,0,0,9.2,38.6
San Miguel AZ,88.9,11.1,0,0,0,0,0
South Komelik AZ,100,0,0,0,0,0,27.8
Ventana AZ,0,0,0,0,0,0,0
Wahak Hotrontk AZ,100,0,0,0,0,0,0
Rillito AZ,100,0,0,0,0,0,0
Seven Mile AZ,69.4,18.4,4.1,2.6,0,5.6,23.8
Verde Village AZ,75.9,11,1,1,8.3,2.6,23.4
Picacho AZ,90.2,3.3,0,1.4,3.7,1.4,19.2
Kohatk AZ,0,0,0,0,0,0,0
Tat Momoli AZ,0,0,0,0,0,0,0
Vicksburg AZ,91.6,6.2,0,0,2.2,0,11.8
San Manuel AZ,79.9,13.5,0,0.9,5.7,0,50.3
Vail AZ,81.8,10.1,0.4,1.3,4.8,1.7,30.2
Mohave Valley AZ,98,2,0,0,0,0,23.3
Mojave Ranch Estates AZ,77.8,0,0,22.2,0,0,0
Leupp AZ,58.7,29.2,1.6,4.9,2.3,3.2,42
Kayenta AZ,78.6,4.1,0.6,9.8,2.7,4.2,23.4
Sierra Vista Southeast AZ,85.2,9.5,0,0.2,2,3.1,23.8
Corona de Tucson AZ,81,7,1.8,0,8.4,1.8,36
Tanque Verde AZ,81.4,6.7,0.5,0.8,9.3,1.3,30
LeChee AZ,74.4,24.6,0,0,1,0,21.9
Drysdale AZ,52.9,47.1,0,0,0,0,21.9
Martinez Lake AZ,41.1,0,0,58.9,0,0,0
Alpine AZ,41.8,0,0,3.6,54.5,0,0
Concho AZ,0,0,0,0,0,0,0
Cornfields AZ,88.2,0,9.2,0,2.6,0,55.6
Del Muerto AZ,54,14.3,0,0,31.7,0,0
Greer AZ,0,0,0,0,0,0,0
Lupton AZ,0,100,0,0,0,0,0
Nutrioso AZ,100,0,0,0,0,0,0
Oak Springs AZ,100,0,0,0,0,0,0
Sanders AZ,55.2,0,0,6,34.3,4.5,0
Sehili AZ,100,0,0,0,0,0,0
Toyei AZ,0,0,0,0,0,0,0
Vernon AZ,100,0,0,0,0,0,0
Wide Ruins AZ,0,0,0,0,100,0,0
Klagetoh AZ,63.9,0,8.3,8.3,19.4,0,53.4
Wall Lane AZ,79.3,13.4,0,0,7.3,0,34.6
Wellton Hills AZ,79.3,9.4,0,0,11.3,0,18.5
Padre Ranchitos AZ,100,0,0,0,0,0,30.8
Orange Grove Mobile Manor AZ,76.5,23.5,0,0,0,0,33
Rancho Mesa Verde AZ,91.2,8.8,0,0,0,0,17.3
El Prado Estates AZ,66.8,33.2,0,0,0,0,22.7
Flowing Springs AZ,100,0,0,0,0,0,0
Mead Ranch AZ,0,0,0,0,0,0,0
Geronimo Estates AZ,100,0,0,0,0,0,0
East Verde Estates AZ,100,0,0,0,0,0,0
Mesa del Caballo AZ,71.8,6.1,0,0,12.9,9.2,18.7
Washington Park AZ,90.9,9.1,0,0,0,0,0
Whispering Pines AZ,100,0,0,0,0,0,0
Tonto Village AZ,34.7,0,0,10.7,40,14.7,29.3
Donovan Estates AZ,89.5,4.6,0,0,3.3,2.6,18.3
Avenue B and C AZ,74.8,19.9,0,1.7,3.6,0,19.9
Oxbow Estates AZ,87.1,12.9,0,0,0,0,14.6
Wheatfields AZ,100,0,0,0,0,0,0
Rye AZ,100,0,0,0,0,0,0
Round Valley AZ,77.2,17.5,0,5.2,0,0,20.9
Hunter Creek AZ,0,0,0,0,100,0,0
Kohls Ranch AZ,0,0,0,0,100,0,0
Christopher Creek AZ,100,0,0,0,0,0,0
Roosevelt AZ,0,50,9.1,13.6,27.3,0,4.1
Jakes Corner AZ,100,0,0,0,0,0,0
Deer Creek AZ,73.2,5.5,0,0,21.3,0,27.9
Valle Vista AZ,77.9,16.8,0,1.5,3.8,0,28.5
Grand Canyon West AZ,0,0,0,0,0,0,0
Crozier AZ,75,0,0,25,0,0,0
Antares AZ,81.5,7.4,0,0,11.1,0,0
Fort Mohave AZ,82.9,11.8,0.4,0.3,1.5,3.1,18.9
Gila Crossing AZ,76.3,21.1,0,1.8,0.9,0,22.1
Anegam AZ,100,0,0,0,0,0,0
Charco AZ,0,0,0,100,0,0,0
Tees Toh AZ,71.1,23.4,0,5.5,0,0,41.9
Whitecone AZ,61.5,18.5,2.3,6.2,9.2,2.3,45
Low Mountain AZ,85.7,3.4,0,1.4,5.4,4.1,27.6
Hard Rock AZ,42.1,0,0,0,57.9,0,0
Turkey Creek AZ,53.8,27.8,5.7,0,3.2,9.5,24.1
Fort Apache AZ,63.7,27.5,0,8.8,0,0,11
Rainbow City AZ,62.4,22.9,3.5,0,3.5,7.8,14.5
Pinetop Country Club AZ,64.2,22.6,0,0,13.2,0,18.8
Cowlic AZ,82.5,0,0,0,0,17.5,0
Topawa AZ,80,0,0,20,0,0,0
Comobabi AZ,100,0,0,0,0,0,0
Maish Vaya AZ,93.5,0,0,6.5,0,0,46.3
Gu Oidak AZ,0,100,0,0,0,0,0
Rincon Valley AZ,85.1,7.3,0,0,7,0.5,33.1
Summerhaven AZ,100,0,0,0,0,0,0
Arivaca AZ,85.4,0,0,0,4.5,10.2,0
Copper Hill AZ,0,0,0,0,0,0,0
Dripping Springs AZ,77.6,22.4,0,0,0,0,32.3
El Capitan AZ,56,25.3,0,0,18.7,0,19.4
Rock House AZ,0,0,0,0,100,0,0
Haigler Creek AZ,0,0,0,0,0,0,0
Cutter AZ,0,0,0,0,0,0,0
Pinal AZ,52.1,47.9,0,0,0,0,10.7
Brenda AZ,63.6,0,0,18.2,18.2,0,0
Utting AZ,0,0,0,0,100,0,0
La Paz Valley AZ,100,0,0,0,0,0,0
Cienega Springs AZ,79.5,17.8,0,1.2,1.5,0,14.1
Alamo Lake AZ,100,0,0,0,0,0,0
Sunwest AZ,0,0,0,0,0,0,0
Carrizo AZ,76.7,0,0,0,0,23.3,0
Cedar Creek AZ,65.5,14.4,0,20.1,0,0,28
Six Shooter Canyon AZ,92.1,7.9,0,0,0,0,18.8
Bear Flat AZ,0,0,0,0,0,0,0
Beaver Valley AZ,100,0,0,0,0,0,0
Freedom Acres AZ,48.6,0,0,0,51.4,0,0
Dateland AZ,74.8,7,4.9,0,3.5,9.8,18.8
Aztec AZ,0,0,0,0,0,0,0
Buckshot AZ,0,0,0,0,0,0,0
North Fork AZ,62.4,26.8,0,8.8,0,2,20.4
Hondah AZ,87.5,6.9,0,2.8,0,2.8,25.2
Elephant Head AZ,86.1,7.2,0,6.7,0,0,31
Ak Chin AZ,100,0,0,0,0,0,0
Ali Chuk AZ,100,0,0,0,0,0,0
Clay Springs AZ,48.3,21.2,0,0,30.5,0,0
Pinedale AZ,61.4,28.9,0,9.6,0,0,44.6
Linden AZ,83.2,3.6,0,0.8,7,5.4,18.3
Lake of the Woods AZ,74.7,12.4,1.8,3.8,6.4,0.9,29.8
Wagon Wheel AZ,86.8,6.9,0,0,6.2,0,22.4
White Mountain Lake AZ,79.3,7.1,0,0,7.4,6.3,29.2
Woodruff AZ,100,0,0,0,0,0,0
Joseph City AZ,85.5,6.9,0,5,2.6,0,14.7
Sun Valley AZ,41.3,0,17.5,10,31.3,0,0
Indian Wells AZ,80.4,3.6,0,0,16.1,0,50.1
Seba Dalkai AZ,73.7,0,0,15.8,10.5,0,37.4
Ali Chukson AZ,100,0,0,0,0,0,0
Wet Camp Village AZ,61.5,36.9,0,1.5,0,0,26.6
Casa Blanca AZ,78.4,18.8,0,0,2.9,0,24.7
Goodyear Village AZ,60,22.2,0,0,17.8,0,0
Santa Cruz AZ,0,0,0,0,0,0,0
Sacate Village AZ,88.5,11.5,0,0,0,0,0
San Tan Valley AZ,80.2,12,0.3,0.7,5.1,1.7,36.5
Franklin AZ,100,0,0,0,0,0,0
York AZ,77.9,11,0,3.8,0,7.2,24.9
Kino Springs AZ,84.8,4.8,0,10.5,0,0,24.2
Fort Valley AZ,76.1,15.2,0,3.5,5.2,0,15.3
Doney Park AZ,79.1,13.6,0,0.2,4.5,2.7,21.3
Tolani Lake AZ,48.5,13.2,0,26.5,11.8,0,31.7
Valle AZ,96.7,0,0,3.3,0,0,0
Beyerville AZ,96.4,0,0,0,3.6,0,17.6
