city,white,hispanic_latino,african_american,american_indian,asian,pacific_islander,other_race,two_or_more_races
Trinity AL,87,1.3,8.6,1.2,1.5,0,0.3,0.1
Slocomb AL,69.7,3.5,24.3,0,0,0,0,2.5
Livingston AL,41.7,0,46.8,0,11.5,0,0,0
Spanish Fort AL,83,4.6,5.2,0.3,1.6,0,0,5.4
Epes AL,10.2,0,89.8,0,0,0,0,0
Geiger AL,44.1,1.3,54.6,0,0,0,0,0
Pinckard AL,84.8,1.9,13.3,0,0,0,0,0
Greensboro AL,30.7,0,68.3,0,0.2,0,0.9,0
Union Grove AL,100,0,0,0,0,0,0,0
Riverview AL,84.2,14.9,0,0,0,0,0,0.9
Phenix City AL,46.3,5.2,43.7,0.2,0.8,0.2,0.3,3.4
Cherokee AL,76.3,0.4,22.2,1.1,0,0,0,0
Cleveland AL,73.5,25.8,0.3,0,0.2,0,0,0.2
Sanford AL,85,2.3,4.6,0,0,0,0,8.1
Southside AL,94.7,1.5,1.6,0.3,1.1,0,0.2,0.6
Dora AL,80,0,17.9,0,0.4,0,0,1.6
Selma AL,17,1.2,80.2,0.1,0.8,0,0,0.8
Paint Rock AL,95.9,0,1.4,1.4,0.5,0,0,0.9
Hayden AL,93.7,0.6,1.7,2.3,0.2,0,0,1.5
McMullen AL,0,0,100,0,0,0,0,0
Thomaston AL,63.8,0,31.5,4.7,0,0,0,0
Beatrice AL,21.1,0,78.9,0,0,0,0,0
Cedar Bluff AL,88.1,1.4,9.8,0.6,0,0,0,0
Union Springs AL,13.3,1,85.2,0,0.5,0,0.1,0
Collinsville AL,41.7,47.4,8.3,0,0,2.2,0,0.5
Sylacauga AL,58.6,4.1,35.4,0.5,0,0,0,1.4
Lester AL,98.9,0,0,0,1.1,0,0,0
Grove Hill AL,55,0.5,44.5,0,0,0,0,0
Headland AL,68.9,0.7,29.7,0,0,0,0,0.8
Dozier AL,59.7,0,39,0,0,0,0.6,0.6
Hodges AL,98.5,0,0,0,0.9,0,0,0.6
Lynn AL,91.3,7.6,0,0,0,0,0,1.1
Petrey AL,77.8,0,22.2,0,0,0,0,0
Centre AL,82.4,0.4,15.4,0.9,0,0,0,1
Moulton AL,78.1,0,18.7,1.6,0,0,0,1.6
Ridgeville AL,18,0,82,0,0,0,0,0
Cullman AL,89.1,6.8,0.8,0.5,1,0,0.4,1.4
Ragland AL,83.8,0,14.2,0.3,0.1,0,0,1.6
Enterprise AL,65,8.5,21.5,0.5,1.7,0,0,2.7
Ranburne AL,92.3,1.8,3.9,0,0,0,0,2.1
Troy AL,51.8,0.3,41.4,0.5,3.6,0,0.1,2.2
Crossville AL,87.8,9.1,0.3,2.8,0,0,0,0
Grimes AL,51.4,12.8,29.8,0,0.4,0,0,5.6
Coosada AL,49.7,2,44.7,0,0,0,0,3.6
Calera AL,65.6,3,27.9,0,0.9,0,0,2.5
Talladega Springs AL,77.8,2.3,19.2,0.8,0,0,0,0
Pickensville AL,38.2,0,61.5,0,0.2,0,0,0
Dadeville AL,45.1,2,51.5,1.4,0,0,0,0
Loachapoka AL,56.3,5.2,34.3,1.5,1.5,0,0,1.1
Vernon AL,88.8,1.4,9.3,0,0,0,0.5,0
Red Bay AL,98.4,1.2,0,0,0.2,0,0,0.2
Union AL,0.4,0,99.6,0,0,0,0,0
Pennington AL,24.7,0,74.5,0.8,0,0,0,0
Samson AL,68.3,8.3,18.6,0,0,0,0,4.8
Mount Vernon AL,26.1,0.7,68.8,2.2,0,0,0,2.1
Gadsden AL,56.3,6,34.7,0.3,0.9,0,0.1,1.7
Talladega AL,45.8,4,48.1,0,1.1,0,0.1,0.9
Lexington AL,95,1.5,2.9,0,0,0,0,0.5
Decatur AL,62,12.9,21.6,0.3,0.5,0,0.1,2.5
Lincoln AL,71.8,0.4,24.1,0,0.5,0,0,3.2
Woodland AL,99.1,0.5,0.5,0,0,0,0,0
Fairhope AL,87.6,5.2,4.9,0.1,1,0,0.5,0.7
Robertsdale AL,89.7,5.6,3.5,1.2,0,0,0,0
Garden City AL,95.2,0,0,0,0,0,0,4.8
Georgiana AL,25.3,0,72.5,0.4,1.8,0,0,0
Brookwood AL,89.7,3.2,6.5,0,0.3,0,0,0.3
Walnut Grove AL,94,1,0,0,0,0,0,4.9
Dothan AL,60.3,3.3,33.3,0.3,1.2,0,0.1,1.6
Kinsey AL,43,5,47.5,1.1,0,0,0,3.4
Eldridge AL,90.7,1.3,6,0,0,0,0,2
Jasper AL,78.8,2.9,15.3,0,1.2,0,0,1.9
Kansas AL,98.5,0,0,0,0,0,0,1.5
Fultondale AL,71.6,8.6,15.6,0.6,2,0,0.2,1.5
Foley AL,78.5,3.9,15.8,0.3,0.7,0,0.4,0.4
Guin AL,84.3,1.5,10.2,0.5,0,0,0,3.5
Daphne AL,78.4,2.4,14.9,0,2.6,0,0.5,1.2
Silverhill AL,82.2,16.8,0,0.5,0,0,0,0.4
Leesburg AL,98.8,0.7,0,0,0,0,0,0.5
Rainsville AL,90.5,5.4,0.6,0,0,0,0,3.6
Rainbow City AL,79.7,3.7,14.3,0,2.2,0.1,0,0
Lowndesboro AL,95,0,5,0,0,0,0,0
Brookside AL,72.9,0.4,25.9,0.3,0.3,0,0,0.2
Gardendale AL,83.6,1.9,11.7,0.2,2.1,0,0,0.5
Graysville AL,76.4,0,22.3,0,0.4,0,0,0.9
Hueytown AL,63.2,1.9,33.7,0.1,0.3,0,0.2,0.6
Trafford AL,90.4,0,6.4,0,0,0.2,0,3.1
Reece City AL,92.8,3.7,0,0,2,0,0,1.5
